x y
-1 0.0176801
-0.96 0.0169761
-0.92 0.0170948
-0.88 0.0188272
-0.84 0.0197369
-0.8 0.0206624
-0.76 0.0213032
-0.72 0.0222604
-0.68 0.0233916
-0.64 0.0241985
-0.6 0.0253059
-0.56 0.0267852
-0.52 0.028312
-0.48 0.0301156
-0.44 0.0324255
-0.4 0.0335883
-0.36 0.0346088
-0.32 0.0374645
-0.28 0.0387935
-0.24 0.0419498
-0.2 0.0442439
-0.16 0.046973
-0.12 0.0499553
-0.08 0.0539581
-0.04 0.0571618
0 0.0613703
0.04 0.0654363
0.08 0.0711952
0.12 0.0761868
0.16 0.0830848
0.2 0.0893658
0.24 0.0976798
0.28 0.106998
0.32 0.118342
0.36 0.126664
0.4 0.141291
0.44 0.156914
0.48 0.174737
0.52 0.195613
0.56 0.219289
0.6 0.249199
0.64 0.284955
0.68 0.324982
0.72 0.373767
0.76 0.437423
0.8 0.513373
0.84 0.604194
0.88 0.709342
0.92 0.845404
0.96 1
