x y
0 0.0656531
0.02 0.198662
0.04 0.327846
0.06 0.454586
0.08 0.572243
0.1 0.672475
0.12 0.77014
0.14 0.842186
0.16 0.90078
0.18 0.953228
0.2 0.973393
0.22 0.993188
0.24 1
0.26 0.990498
0.28 0.977194
0.3 0.942541
0.32 0.905618
0.34 0.860475
0.36 0.824612
0.38 0.77752
0.4 0.736228
0.42 0.692023
0.44 0.646609
0.46 0.602404
0.48 0.564394
0.5 0.526582
0.52 0.488153
0.54 0.452735
0.56 0.424943
0.58 0.400953
0.6 0.368941
0.62 0.342951
0.64 0.316887
0.66 0.298401
0.68 0.279075
0.7 0.256911
0.72 0.240843
0.74 0.226775
0.76 0.209497
0.78 0.197132
0.8 0.186099
0.82 0.17129
0.84 0.165391
0.86 0.151989
0.88 0.138834
0.9 0.132836
0.92 0.125383
0.94 0.119508
0.96 0.107933
0.98 0.107069
